pair_id,treated,control,ps_t,ps_c,dist
0,173,4137,0.18366519030648354,0.1848871856592954,0.008129400272714804
1,97,15268,0.24198075371017402,0.2418537143734356,0.0006927153215527948
2,70,13532,0.46172349776985583,0.4613226477423308,0.0016129519316906704
3,116,12813,0.22729269772023852,0.22747257612549693,0.0010238993895657078
4,142,15179,0.3219851216710846,0.3244677442926423,0.01134911647693182
5,166,1146,0.008385501765255078,0.008379856743084784,0.0006791077943404389
6,149,5534,0.30430054036137516,0.3058523451012738,0.007319679610297447
7,147,10481,0.32885225731768436,0.33074526522316317,0.00856444206134177
8,0,13548,0.24751021552106942,0.24756864899309156,0.0003137137522655209
9,105,7503,0.44673695231346444,0.4447641306587135,0.007985300550133578
10,72,9388,0.44443911087203936,0.44396492713086444,0.001920654288975282
11,75,7730,0.013606090823604804,0.013598289388660843,0.0005814515912430096
12,93,513,0.25683196049215223,0.2570539857733506,0.0011629031824842428
13,174,5734,0.09021171285319776,0.09018685303912288,0.0003029343484284297
14,103,2781,0.4874473189979508,0.4874473189979508,0.0
15,5,10421,0.4664223154607405,0.4664481686602785,0.00010388092425372975
16,144,3256,0.0028428626216323535,0.002840640820935597,0.000784070118653446
17,157,16072,0.1237371173844417,0.12386646055327527,0.0011923788083390008
18,84,5535,0.4531392005875975,0.45257707473721825,0.0022686708184684323
19,183,6940,0.004423615892568938,0.004421406636088667,0.0005017670407543307
20,179,8923,0.011956458742045884,0.01194682381279502,0.0008159110269518877
21,102,14156,0.4808415299928146,0.4806963821360467,0.0005814515912427459
22,135,11193,0.3709338623747323,0.36819947337841397,0.011736263108224065
23,148,9087,0.16061127346197965,0.16041852650262203,0.0014304057096270473
24,10,6879,0.4692445224350056,0.468303559198991,0.0037785914983974322
25,39,3971,0.47315543780186514,0.47234840903252145,0.0032377313025089144
26,13,9788,0.24810615990543936,0.24761269901393695,0.0026469661647468
27,146,13500,0.3273011861468826,0.32573931343643725,0.007102505780921975
28,54,9410,0.2524693552750677,0.252378344513983,0.0004822885217452555
29,141,7497,0.11818228758473844,0.11818710663577983,4.624051352486447e-05
30,126,14107,0.19333506576412424,0.19297535447051564,0.0023081166285159327
31,156,8227,0.30671464845987967,0.3111442747675067,0.020748704484219394
32,114,14659,0.09507401133756703,0.09503278281683407,0.0004792997056171089
